Gene,Target,LD4,LD5,LD6,M,YR,ET,MT,LT,ES,S,LS,GD4,GD6,GD10F,GD10M,MIS,MFS,Haplo,HomologyScore,BestPocket_Score,N_Pockets
PF3D7_1359900,0,34.047,25.646,51.364,54.5676,76.662,45.029,17.738,43.63,81.434,71.173,68.205,101.946,154.181,142.52,48.1934,1,-2.815,1248,0,16.03,17
PF3D7_1401800,0,34.276,89.153,89.97,186.3285,21.708,46.867,66.385,115.68,219.272,272.646,267.424,308.586,189.731,101.181,520.0396,0.135,-2.947,69,2045.4575,29.55,7
PF3D7_0208900,0,9.664,8.794,6.978,1.79425,1.048,0.727,0.145,0.286,3.92,2.421,2.725,26.31,53.328,24.235,399.6684,1,-1.524,1274,0,24.62,29
PF3D7_0202000,0,6.401,13.039,55.92,121.81485,1463.467,1526.364,315.246,153.685,118.043,118.907,70.376,16.176,26.786,3.349,41.3873,1,-1.359,1,0,0,0
PF3D7_1246000,0,24.274,37.592,47.019,7.63455,12.026,6.796,3.254,2.726,5.45,4.193,4.712,34.605,31.385,39.458,16.9826,0.145,-3.297,148,0,3,9
PF3D7_1407900,0,0,82.525,68.639,468.20665,1955.536,647.569,256.529,170.041,100.569,86.111,245.625,40.916,10.836,4.45,22.9632,0.594,-2.401,203,2632.719027,19.36,3
PF3D7_1115300,0,21.388,34.541,25.979,56.4003,164.319,180.806,102.256,40.201,27.241,27.512,28.441,13.298,7.131,56.125,0.6796,0.91,-2.729,164,2323.658091,15.7,6
PF3D7_0915000,0,54.698,53.118,91.587,170.3775,23.964,10.547,96.347,279.714,344.529,279.508,312.179,140.423,138.114,95.704,262.3832,0.479,-1.983,60,0,17.45,6
PF3D7_1209500,0,35.195,42.878,33.142,119.46675,10.886,3.589,28.021,55.9,104.716,117.965,181.546,32.855,32.512,41.869,112.9722,1,-2.516,476,1031.391143,35.17,24
PF3D7_1322100,0,33.74,32.79,36.823,58.9704,183.747,89.579,63.444,50.606,41.142,41.183,39.589,104.838,107.414,69.243,38.4681,1,0.151,1428,310.0471743,20.41,23
PF3D7_0910000,0,0,9.458,10.601,22.67455,7.513,1.786,6.76,16.432,34.039,29.93,30.053,12.596,11.871,18.543,13.7153,1,-2.468,1065,323.156553,19.32,9
PF3D7_1214200,0,13.66,10.395,12.872,30.316,18.35,17.318,99.16,105.632,86.516,52.643,47.939,137.135,94.289,110.053,0,1,-1.751,107,0,0,0
PF3D7_0403900,0,58.641,72.126,94.529,84.93125,8.298,1.449,5.742,35.148,77.133,80.893,102.178,143.236,185.678,128.841,578.5577,1,-1.974,756,497.4677909,23.37,10
PF3D7_1211600,0,25.341,36.748,57.606,69.15465,63.119,92.365,127.711,136.963,170.879,192.055,77.101,75.4,49.233,28.864,93.486,1,-1.364,1839,165.4832827,0,0
PF3D7_0809900,0,138.347,161.389,163.726,37.90925,58.757,19.629,18.646,58.401,60.124,55.444,44.119,98.353,80.099,41.011,239.5852,1,-0.973,486,309.7696585,27.68,14
PF3D7_0602800,0,49.338,42.378,20.911,9.2951,34.508,18.886,17.449,12.984,16.245,10.586,14.817,48.26,43.1,56.003,0,0.999,-1.838,520,835.9049536,22.48,13
PF3D7_0209100,0,26.461,20.624,37.881,83.7931,153.18,88.452,68.608,134.079,147.164,113.194,89.84,203.698,157.63,114.178,578.4942,1,-1.821,142,1399.095434,11.83,9
PF3D7_1252600,0,366.744,80.22,158.677,224.4405,192.286,49.543,21.74,26.341,32.344,39.605,95.522,22.293,12.753,25.666,45.3818,0.124,-3.203,57,0,32.26,8
PF3D7_1476800,0,0,0.442,2.407,110.71105,94.636,67.49,18.639,72.01,161.465,91.694,120.659,42.767,32.126,22.437,4.0979,0.149,-3.317,135,1401.60566,15.74,6
PF3D7_0218600,0,53.78,39.897,43.567,40.92565,32.481,151.759,153.057,69.58,59.308,69.597,53.64,46.658,30.384,26.923,57.3001,0.84,-3.005,1542,256.3010924,42.03,28
PF3D7_0629300,0,32.511,11.724,2.381,285.54585,27.076,5.476,3.59,8.98,75.238,173.359,430.207,9.195,49.316,65.943,64.545,0.425,-2.636,73,1344.156431,24.27,8
PF3D7_0709700,0,53.011,78.605,115.953,116.23005,121.634,68.177,76.509,262.207,310.16,238.483,224.234,705.549,1244.078,1456.03,224.5688,0.913,-2.961,66,0,14.69,6
PF3D7_0731800,0,0,0.79,1.472,102.70075,101.869,25.859,4.953,14.836,50.358,46.762,95.041,195.226,199.153,66.643,144.7518,1,-0.781,236,0,10.58,8
PF3D7_0814400,0,42.539,75.293,78.084,100.10265,29.989,3.115,2.355,28.247,91.317,99.507,89.129,145.704,125.498,91.794,14.0773,0.122,-2.906,209,1104.565538,26.52,11
PF3D7_0908000,0,14.983,26.122,41.834,160.2897,53.405,116.018,49.019,196.697,327.474,309.254,310.496,298.898,156.002,110.485,71.9843,0.135,-2.836,202,0,2.97,6
PF3D7_0924000,0,26.656,31.387,52.371,166.94355,55.027,30.414,24.379,48.011,81.115,112.416,207.308,355.388,208.853,92.036,140.0444,0.942,-2.847,624,0,22.74,11
PF3D7_1001400,0,0,0,0,339.3287,1036.877,723.969,51.8,18.649,23.817,29.968,76.721,17.194,11.613,4.894,34.5223,1,-2.633,361,0,21.01,15
PF3D7_1001600,0,0,0,0,297.5914,50.332,25.714,265.457,1164.354,854.79,911.973,613.089,15.013,18.573,5.059,88.1662,0.12,-3.009,272,0,12.69,9
PF3D7_1038900,0,50.276,44.593,37.698,24.803,3.024,7.816,38.086,51.309,75.888,36.396,48.619,69.771,61.605,26.398,144.1054,0.123,-3.112,37,0,19.13,6
PF3D7_1238600,0,1.867,19.409,26.577,137.62675,13.365,4.569,19.921,115.345,215.071,236.225,276.733,91.488,90.795,57.207,183.829,1,-1.894,44,0,22.38,3
PF3D7_1411900,0,56.762,30.835,24.566,153.94245,827.396,442.914,220.707,75.614,90.247,52.358,119.984,37.996,43.881,23.592,160.1346,0.998,0.58,105,0,10.96,5
PF3D7_1412000,0,0,178.188,240.966,93.4182,6.116,1.277,2.602,21.91,97.044,79.466,125.482,12.739,10.774,10.058,137.2046,0.907,-2.677,83,0,2.58,4
PF3D7_1427100,0,27.973,6.961,8.691,482.0586,790.41,435.33,71.884,34.087,79.174,81.836,226.122,58.32,97.389,186.492,82.5229,1,-1.144,374,0,38.86,16
PF3D7_1235200,0,2.468,13.04,9.346,102.2739,11.451,1.562,1.436,69.11,200.874,208.232,212.466,47.287,161.132,390.462,619.7019,0.462,-2.43,314,0,22.9,21
PF3D7_0609100,0,12.927,24.907,27.675,82.3184,289.11,227.248,133.88,129.022,92.859,94.2,117.638,196.22,293.112,500.351,141.6533,0.703,-2.268,171,2039.088268,9.41,10
PF3D7_0603600,0,3.873,16.161,11.651,9.2968,1.63,2.044,4.878,16.969,22.61,18.987,15.494,91.533,113.771,45.401,211.5371,1,-1.564,2361,122.4657095,20.22,23
PF3D7_1113900,0,0,4.408,11.8,63.57005,9.682,3.456,23.174,33.619,59.541,39.02,48.932,388.773,405.421,163.56,890.3778,0.183,-3.258,74,2775.605906,10.56,6
