LD4,LD5,LD6,YR,ET,MT,LT,ES,S,LS,M,GD4,GD6,GD10F,GD10M,MIS,MFS,Haplo,HomologyScore,N_Pockets,BestPocket_Score,BestPocket_Probability,TargetID,Gene,UniProtID
40.593,57.903,73.129,35.541,36.031,174.997,221.83,204.328,131.387,110.986,87.46805,514.506,450.777,229.859,1169.3094,0.315,-2.412,59,4201.373611,5,3.89,0.153,sp|O75792|RNH2A_HUMAN,PF3D7_0623900,C6KT75
522.294,826.083,471.681,896.486,1355.501,1369.188,1330.018,834.113,678.845,602.059,488.72465,248.715,192.311,114.775,255.6346,0.462,-2.565,16,3265.764706,3,13.48,0.688,sp|P52789|HXK2_HUMAN,PF3D7_0624000,C6KT76
25.044,53.765,58.091,14.222,24.442,100.555,221.556,284.575,203.432,162.776,100.8586,1411.105,1338.605,2077.386,1462.1422,0.175,-2.656,77,0,0,0,0,,PF3D7_0624100,C6KT77
5.026,32.347,80.359,21.074,54.558,166.813,351.551,505.232,411.684,289.767,192.7249,680.274,847.926,997.652,286.5164,0.72,-0.314,180,0,1,1.69,0.029,,PF3D7_0624200,C6KT78
95.685,256.296,206.181,3.006,6.869,21.679,26.199,29.595,27.79,34.596,31.8989,1028.046,1416.664,1972.011,1125.8973,0.565,-2.48,63,0,0,0,0,,PF3D7_0624300,C6KT79
114.613,79.538,97.528,26.797,76.638,124.723,166.213,164.378,117.882,80.016,50.62785,104.684,101.733,93.066,250.9053,0.318,-3.396,308,0,5,9.13,0.489,,PF3D7_0624400,C6KT80
67.821,149.184,173.839,11.477,11.291,41.252,124.593,207.722,149.715,190.64,129.9967,102.884,145.856,268.336,244.0447,0.888,-2.97,6,3370.813483,0,0,0,sp|Q9NYG5|APC11_HUMAN,PF3D7_0624500,C6KT81
126.818,197.735,194.294,326.919,273.241,226.811,319.017,432.497,496.589,361.122,428.73265,256.305,237.429,111.505,632.7353,0.992,-2.746,688,316.2906583,,,,tr|A0A0A0MRP6|A0A0A0MRP6_HUMAN,PF3D7_0624600,
9.958,19.224,50.879,4.932,2.681,45.351,150.605,165.951,85.694,75.696,43.1306,11.842,36.216,38.519,25.2276,0.99,-2.574,103,2833.969231,3,17.01,0.793,sp|Q9Y2B2|PIGL_HUMAN,PF3D7_0624700,C6KT83
1.922,15.92,11.039,0.707,0.24,0.468,6.186,16.657,11.82,13.568,9.6351,11.685,26.52,13.776,20.6923,0.834,-2.137,469,0,7,17.64,0.806,,PF3D7_0624800,C6KT84
78.697,14.307,20.799,2.304,0.882,16.636,46.533,54.536,45.132,31.824,18.7262,68.436,64.49,33.458,803.1627,0.961,0.921,141,1910.11236,0,0,0,sp|O95995|DRC4_HUMAN,PF3D7_0624900,C6KT85
7.43,33.288,56.34,12.624,2.926,5.353,39.524,101.355,130.559,198.156,175.07,19.096,34.701,38.255,171.0626,0.536,-2.574,45,1526.162642,8,18.91,0.832,sp|Q8NHU3|SMS2_HUMAN,PF3D7_0625000,C6KT86
31.515,26.846,70.587,2.697,0.938,3.39,13.859,44.982,20.468,30.644,14.3942,116.031,85.739,124.085,168.9452,1,0.728,76,1002.503759,7,17.91,0.811,sp|Q8NHU3|SMS2_HUMAN,PF3D7_0625100,C6KT87
8.129,24.353,43.477,2.758,1.795,16.812,45.668,92.947,90.392,69.754,48.59735,35.696,32.985,53.131,193.0797,0.149,-2.955,208,0,1,1.39,0.017,,PF3D7_0625200,C6KT88
41.629,59.678,86.313,5.125,12.812,63.206,122.26,116.352,107.318,64.379,38.9093,24.595,18.274,41.18,108.6363,0.144,-2.934,461,650.9699446,14,22.6,0.882,sp|Q7Z5Q5|DPOLN_HUMAN,PF3D7_0625300,C6KT89
69.67,54.481,38.816,295.675,268.069,62.598,22.915,39.24,85.603,224.686,250.2666,42.948,14.882,21.227,1.5276,0.12,-3.076,165,0,3,5.04,0.229,,PF3D7_0625400,C6KT90
14.647,27.924,30.39,8.271,6.555,11.454,21.646,25.757,14.374,23.248,20.64325,16.755,35.497,16.811,0.59,0.195,-3.351,109,0,11,5.31,0.25,,PF3D7_0625500,C6KT91
7.4,157.906,143.253,21.189,11.113,6.334,8.026,13.72,14.156,12.31,24.1376,32.258,40.322,18.38,0,0.126,-2.835,86,3058.645483,6,11.63,0.618,sp|Q9BWT3|PAPOG_HUMAN,PF3D7_0625600,C6KT92
309.133,176.642,289.082,23.165,44.927,109.343,168.21,137.18,75.358,78.586,30.1383,11.103,16.005,3.843,111.9664,0.318,-3.282,21,0,1,1.04,0.006,,PF3D7_0625700,C6KT93
33.384,17.896,26.699,35.113,41.018,32.357,46.343,56.999,38.521,34.12,29.08775,27.734,18.689,13.802,2.2456,0.996,-2.836,355,0,8,7.42,0.389,,PF3D7_0625800,C6KT94
0,95.197,123.597,1.254,1.8,23.04,29.519,33.402,22.524,13.704,12.745,14.617,10.316,18.97,10.7561,0.999,-2.177,221,0,2,14.54,0.726,,PF3D7_0625900,C6KT95
23.664,41.457,47.852,111.105,143.811,76.365,56.437,41.524,36.864,30.929,28.492,15.029,37.272,62.601,57.7203,0.613,-2.988,998,0,27,22.81,0.883,,PF3D7_0626000,C6KT96
536.96,422.863,345.472,16.434,23.738,78.369,118.444,107.854,56.52,53.943,37.5533,76.983,71.71,66.983,22.3431,0.31,-2.764,93,2689.286684,4,25.41,0.906,sp|Q96NR8|RDH12_HUMAN,PF3D7_0626100,C6KT97
10.034,18.243,17.656,43.431,37.336,28.455,31.609,22.007,13.457,14.72,11.9791,124.357,126.637,146.17,27.2351,0.14,-3.161,222,0,12,25.15,0.904,,PF3D7_0626200,C6KT98
795.084,1097.115,822.352,22.673,6.551,20.254,92.74,72.846,60.897,47.888,35.57855,113.739,73.603,90.925,48.4204,1,-1.284,117,3403.789641,3,11.71,0.622,sp|Q9NWU1|OXSM_HUMAN,PF3D7_0626300,C6KT99
152.533,125.578,131.567,3.585,1.206,15.617,52.829,80.549,72.755,52.862,26.3046,82.464,128.883,110.224,64.1884,0.286,-2.591,404,0,12,15.2,0.748,,PF3D7_0626400,C6KTA0
4.245,5.408,4.63,5.24,1.574,4.165,7.841,26.042,19.402,14.663,10.6047,16.447,28.631,9.771,76.628,1,-0.529,421,1034.863041,0,0,0,sp|Q5T655|CFA58_HUMAN,PF3D7_0626500,C6KTA1
143.06,163.476,137.543,49.137,18.977,34.451,59.203,80.354,32.535,44.168,24.9762,355.855,321.741,121.757,3348.2462,0.218,-2.665,47,0,4,6.66,0.338,,PF3D7_0626600,C6KTA2
27.191,90.909,137.827,764.732,384.276,438.447,404.242,284.506,248.188,169.79,137.63615,54.598,31.196,30.72,140.492,0.163,-2.643,87,3763.451613,4,5.05,0.23,sp|Q9HB07|MYG1_HUMAN,PF3D7_0626700,C6KTA3
185.846,677.4,669.422,3294.58,3605.582,5342.553,4977.314,2012.98,1593.976,968.12,760.31945,327.135,183.619,54.166,280.0716,0.147,-2.921,22,4403.169472,4,15.22,0.749,tr|A0A804F6T5|A0A804F6T5_HUMAN,PF3D7_0626800,C6KTA4
26.467,42.023,27.101,,,,,,,,,,,,,,,,0,,,,,PF3D7_0626840,
768.808,640.746,632.943,12.902,10.698,60.425,82.124,98.395,51.982,45.214,28.9925,30.661,61.203,43.711,330.1555,0.12,-3.011,159,0,3,3.12,0.105,,PF3D7_0626900,C6KTA5
74.196,63.903,36.425,3.208,0.838,1.378,1.974,4.19,3.892,6.213,10.8966,43.759,45.32,18.517,10.3769,0.991,-2.321,59,0,0,0,0,,PF3D7_0627000,C6KTA6
124.458,146.584,133.031,319.591,216.246,165.082,152.982,126.927,154.302,246.772,369.5513,243.779,227.117,120.082,429.9801,0.143,-3.205,427,455.6018692,18,12.72,0.66,tr|A0A5F9ZHT8|A0A5F9ZHT8_HUMAN,PF3D7_0627100,C6KTA7
2.951,21.92,32.474,8.166,1.97,13.442,72.735,77.401,49.058,40.675,28.0263,112.064,121.46,83.137,137.8345,0.189,0,63,2158.271223,1,1.74,0.031,sp|P63316|TNNC1_HUMAN,PF3D7_0627200,C6KTA8
226.383,312.076,330.816,690.287,661.198,514.092,784.536,805.031,721.178,618.029,481.37335,860.024,835.206,662.634,253.6138,0.965,-2.698,187,1158.129176,2,2.63,0.077,sp|Q99942|RNF5_HUMAN,PF3D7_0627300,C6KTA9
146.801,68.12,86.33,40.046,61.786,104.116,115.161,97.128,58.209,50.187,32.3907,24.027,43.311,68.211,135.4005,0.256,-3.331,32,2072.546114,1,6.19,0.308,sp|Q9Y584|TIM22_HUMAN,PF3D7_0627400,C6KTB0
1563.764,1509.698,1320.582,1152.691,1000.328,1100.179,795.106,319.447,192.174,162.866,153.1905,362.629,355.069,341.076,566.5675,0.297,-2.711,21,3439.140212,1,2.79,0.086,sp|Q99497|PARK7_HUMAN,PF3D7_0627500,C6KTB1
803.558,285.906,223.953,11.943,10.704,14.78,14.378,24.586,18.904,19.342,11.73885,168.14,121.296,70.072,136.4435,0.125,-2.887,185,0,0,0,0,,PF3D7_0627600,C6KTB2
195.028,227.026,148.18,344.265,264.532,250.075,310.035,256.675,235.929,235.097,375.5982,197.365,167.689,58.961,86.7373,0.12,-3.073,224,915.4331299,11,16.52,0.78,tr|A0A7P0T944|A0A7P0T944_HUMAN,PF3D7_0627700,C6KTB3
118.16,268.5,267.133,176.057,190.037,204.328,227.162,197.43,189.538,199.998,191.846,132.965,72.896,64.237,60.8772,0.168,-2.84,473,2337.02989,15,16.64,0.783,sp|Q9NR19|ACSA_HUMAN,PF3D7_0627800,C6KTB4
26.893,112.942,72.926,103.349,95.498,75.096,85.935,47.992,45.302,63.288,71.97975,13.006,3.237,12.136,1.2903,0.657,-3.368,67,1374.571478,0,0,0,sp|O95707|RPP29_HUMAN,PF3D7_0627900,C6KTB5
3.635,54.85,41.897,33.315,55.396,171.735,100.606,81.013,66.428,67.435,66.57685,16.845,14.944,85.859,195.7042,0.139,-2.917,22,0,1,2.72,0.082,,PF3D7_0628000,C6KTB6
1.645,2.823,3.964,5.129,0.665,0.671,12.799,70.324,109.147,112.218,60.03935,47.95,66.516,70.872,32.564,1,-2.669,1350,92.34972295,,,,sp|Q15751|HERC1_HUMAN,PF3D7_0628100,
38.197,78.802,118.743,325.21,280.003,178.631,250.764,265.602,259.545,163.861,164.50655,96.689,93.894,81.066,121.6071,0.14,-2.881,528,237.6290039,,,,tr|A0A804HIT4|A0A804HIT4_HUMAN,PF3D7_0628200,
457.616,778.449,657.392,502.695,100.839,300.747,492.052,612.683,887.935,2774.259,3647.862,378.785,362.224,443.099,117.6342,0.124,-2.917,21,1867.007673,6,46.33,0.974,sp|Q9Y6K0|CEPT1_HUMAN,PF3D7_0628300,C6KTB9
11.541,96.229,68.51,13.82,1.701,1.798,6.628,11.541,13.076,29.643,47.5007,65.37,56.913,50.723,1.4057,0.814,-2.317,91,0,11,10.9,0.585,,PF3D7_0628400,C0H4H7
233.202,251.542,178.339,12.845,16.609,30.454,36.583,34.205,21.861,22.636,24.5715,38.21,51.083,47.222,106.5997,1,-1.327,34,0,5,16.83,0.788,,PF3D7_0628500,C6KTC0
302.308,544.002,587.568,122.567,162.823,163.951,157.945,146.233,141.762,72.342,62.3126,181.23,137.968,119.548,43.6032,0.998,-1.057,61,2155.885714,1,1.93,0.039,sp|Q9NPF5|DMAP1_HUMAN,PF3D7_0628600,C6KTC1
121.511,187.037,208.441,21.01,42.517,73.117,77.044,91.891,51.242,55.866,29.42255,206.128,184.194,191.955,52.0612,0.129,-3.206,226,0,9,22.56,0.882,,PF3D7_0628700,C6KTC2
93.444,421.861,464.792,9.327,35.484,121.864,147.887,115.915,66.319,59.683,31.2474,77.663,47.123,163.493,24.429,0.2,-2.724,160,1235.837415,10,36.06,0.954,sp|O75879|GATB_HUMAN,PF3D7_0628800,C6KTC3
18.214,27.351,43.019,1.32,9.526,55.196,52.187,51.015,32.457,24.045,11.1489,59.084,51.595,66.114,45.8028,0.124,-3.163,498,0,29,18.96,0.832,,PF3D7_0628900,C6KTC4
0,113.989,170.029,0.434,2.097,6.363,5.485,4.919,1.733,1.549,0.43305,55.047,23.407,17.558,0,0.229,-3.365,38,0,7,15.8,0.762,,PF3D7_0629000,C6KTC5
31.597,48.35,54.596,137.68,75.37,203.159,211.243,146.452,105.947,89.43,58.10885,108.778,145.469,176.988,125.0737,0.829,-3.036,111,2496.258947,6,4.44,0.188,sp|Q6XQN6|PNCB_HUMAN,PF3D7_0629100,C6KTC6
198.803,149.958,152.815,200.674,343.135,373.216,447.791,349.483,259.651,165.239,104.56985,30.506,21.819,19.015,85.6902,1,0.48,33,3184.181579,2,2.49,0.069,sp|P31689|DNJA1_HUMAN,PF3D7_0629200,C6KTC7
32.511,11.724,2.381,27.076,5.476,3.59,8.98,75.238,173.359,430.207,285.54585,9.195,49.316,65.943,64.545,0.425,-2.636,73,1344.156431,8,24.27,0.897,sp|Q8NCC3|PAG15_HUMAN,PF3D7_0629300,C6KTC8
121.034,356.842,202.419,9.144,61.397,205.546,189.614,135.069,98.22,85.417,47.9957,202.281,168.614,92.351,119.0377,1,-1.676,148,756.4041026,3,2.62,0.076,sp|Q9NX07|TSAP1_HUMAN,PF3D7_0629400,C6KTC9
91.571,113.861,89.104,159.541,201.477,267.028,137.369,85.969,93.703,189.747,162.1317,89.914,69.193,54.057,145.673,0.143,-2.882,113,1072.593729,9,8.53,0.456,sp|Q9HBR0|S38AA_HUMAN,PF3D7_0629500,C6KTD0
229.216,102.556,71.536,109.912,126.013,83.285,30.615,16.988,20.186,49.179,46.1591,3.922,8.804,11.474,0.7816,0.123,-3.185,72,0,4,5.58,0.268,,PF3D7_0629600,C6KTD1
29.119,32.111,57.673,52.56,42.985,46.233,92.685,119.442,98.021,55.206,43.58815,58.739,31.155,27.074,46.2997,0.983,-2.801,886,118.4665482,,,,tr|A0A8I5KWS6|A0A8I5KWS6_HUMAN,PF3D7_0629700,
17.345,39.828,60.362,229.656,137.828,103.354,123.07,117.334,109.593,74.896,66.607,23.56,27.469,16.559,31.8995,0.124,-3.086,323,442.8627104,17,9.26,0.496,sp|Q13620|CUL4B_HUMAN,PF3D7_0629800,C6KTD3
10.456,23.225,24.889,342.912,223.446,103.634,107.918,69.573,57.029,54.063,61.98165,115.828,126.958,89.615,268.7421,0.645,-2.867,47,1890.218598,4,65.3,0.99,sp|O43304|S14L5_HUMAN,PF3D7_0629900,C6KTD4
0,0,0.046,0.09,0.205,0.058,0,1.092,0.79,2.573,4.35385,292.845,432.763,495.995,364.7991,1,-1.785,78,0,0,0,0,,PF3D7_0630000,C6KTD5
11.62,10.753,11.079,10.053,13.066,8.718,5.918,7.192,14.096,33.806,29.06165,17.441,14.752,18.99,1.4385,0.997,-2.017,425,0,9,9.32,0.5,,PF3D7_0630100,C6KTD6
0,14.547,40.449,5.064,1.127,1.292,4.946,15.824,12.134,35.765,23.53535,2111.84,2762.201,5339.37,932.9403,0.126,-3.114,28,0,0,0,0,,PF3D7_0630200,C6KTD7
26.589,92.235,72.348,2.935,3.234,38.42,79.776,69.953,61.042,35.343,21.6318,100.024,117.11,126.97,353.6397,0.122,-3.04,648,1489.490196,,,,tr|F5H1D6|F5H1D6_HUMAN,PF3D7_0630300,
31.744,42.326,34.499,3.056,0.615,2.485,18.486,34.376,48.812,45.63,18.63645,34.591,56.826,18.089,92.0333,0.562,-1.286,120,0,4,16.31,0.776,,PF3D7_0630400,C6KTD9
69.767,106.963,78.726,95.968,140.63,108.124,39.946,27.627,21.769,27.432,20.09635,16.029,11.308,11.722,18.0535,0.157,-2.795,164,1385.557229,5,16.88,0.79,sp|Q969H0|FBXW7_HUMAN,PF3D7_0630500,C6KTE0
19.991,34.586,59.87,79.525,99.109,152.914,249.974,223.12,229.015,149.863,86.88805,333.058,294.071,219.148,484.2754,0.136,-2.854,186,652.4064171,11,19.33,0.838,sp|Q9H8M7|MINY3_HUMAN,PF3D7_0630600,C6KTE1
2.712,25.051,29.706,18.866,29.013,23.028,26.29,31.449,25.166,41.253,35.01985,1.958,5.17,9.281,1.4315,1,-0.595,560,0,15,38.57,0.96,,PF3D7_0630700,C6KTE2
0,2.299,8.7,1.747,1.87,1.845,18.077,83.562,53.713,43.448,34.9708,21.584,5.185,12.224,1.3289,0.147,-3.085,141,0,0,0,0,,PF3D7_0630800,C6KTE3
203.634,206.941,147.992,229.664,243.378,190.945,88.444,75.415,79.715,60.893,63.90105,84.655,79.735,48.53,64.2635,0.119,-3.188,158,4093.184859,5,11.01,0.59,sp|Q9NVP1|DDX18_HUMAN,PF3D7_0630900,C6KTE4
58.603,20.078,12.534,8.63,7.675,6.166,13.912,24.001,25.25,30.223,13.2932,84.386,100.145,84.829,178.1883,0.129,-2.938,,0,2,3.23,0.111,,PF3D7_0631000,C6KTE5
3.679,5.775,3.956,0.222,0.918,2.983,2.03,2.279,2.02,1.974,0.89375,7.886,1.148,1.299,0,1,-1.78,,0,7,11.66,0.62,,PF3D7_0631100,C6KTE6
,,,,,,,,,,,,,,,1,-1.774,,0,,,,,PF3D7_0631200,
,,,0,0,0,0,0,0,0,0,0,0,0,0,0.931,-2.57,,0,8,14.06,0.709,,PF3D7_0631300,Q8I0Q0
,,,2.283,120.394,110.188,4.675,6.35,5.938,5.646,10.627,0,3.108,0,0,0.119,-2.931,,0,2,10.9,0.585,,PF3D7_0631400,C6KTE8
,,,0,0.261,0.244,0,0,0,0.123,0.43,0,0,0,0,0.795,-2.843,,0,4,1.92,0.039,,PF3D7_0631500,C6KTE9
,,,0.443,0.297,0,0,0,0,0,0,0,0,0.398,0,0.151,-2.727,,0,2,4.27,0.176,,PF3D7_0631600,C0H4I0
,,,,,,,,,,,,,,,0.5,-2.272,,0,,,,,PF3D7_0631700,
,,,0.077,0.811,0.892,0.086,0.449,0.424,1.307,2.44375,0.804,17.243,2.193,0,0.613,-2.392,,0,0,0,0,,PF3D7_0631800,C6KTF0
,,,0.684,59.351,112.172,8.475,10.038,8.038,6.485,3.8371,0,0,0,0,0.254,-2.854,,0,1,0.95,0.005,,PF3D7_0631900,C6KTF1
,,,0,4.646,6.547,0,1.422,1.369,1.275,0.8939,0,2.032,0,0,0.386,-2.526,,0,1,1.56,0.024,,PF3D7_0632000,C6KTF2
,,,0,0.066,0.079,0,0,0.164,0.167,0.2776,0.5,0,0,0,0.987,-2.152,,0,0,0,0,,PF3D7_0632100,C6KTF3
,,,0.072,0,0.401,0.319,0.288,0.337,0.572,1.9789,0,2.093,0.414,0,0.794,-2.092,,0,2,1.3,0.014,,PF3D7_0632200,C6KTF4
,,,0.842,1.05,0.196,0,0.174,0.387,1.136,0.99795,0,0.285,0,0,0.888,-2.14,,0,1,3.56,0.132,,PF3D7_0632300,C6KTF5
0,9.522,0.551,1.212,19.204,14.854,1.288,5.55,5.086,8.062,8.83865,4.309,3.295,0,0,0.416,-2.446,,0,1,3.36,0.119,,PF3D7_0632400,C6KTF6
0,0,0.054,9.605,3.511,1.7,1.937,4.013,4.291,4.012,8.25285,1.988,0.896,1.348,0.4592,1,-1.051,,0,,,,,PF3D7_0632500,
,,,,,,,,,,,,,,,1,-1.692,,0,,,,,PF3D7_0632600,
0,20.462,0.621,41.094,39.547,25.535,3.616,23.912,31.743,34.325,36.58825,0,3.965,0.392,81.4983,1,-2.303,,0,0,0,0,,PF3D7_0632700,C6KTF8
0,0.053,0.172,27.453,4.126,2.709,5.795,10.256,13.405,10.831,14.76915,2.244,1.139,1.305,30.0194,,,,0,32,10,0.538,,PF3D7_0632800,C6KTF9
0,0,0,0.908,0.449,0.043,0.135,0.244,0.995,2.383,4.4261,0,0.045,0.463,19.6604,1,-1.878,,0,24,20.71,0.86,,PF3D7_0700100,A0A143ZY53
0,0,0,0.209,21.813,23.631,0.7,2.538,1.151,2.722,5.75235,0,0,0,0,1,2.142,,0,2,1.37,0.016,,PF3D7_0700200,A0A143ZVW0
,,,0,0.452,0.417,0,0.088,0.086,0.086,0,0,0,2.144,0,0.134,-2.89,,0,2,4.59,0.198,,PF3D7_0700300,A0A143ZVI0
,,,0,0.393,2.933,0.102,0.246,1.234,0.991,1.2836,0,0,3.131,0,0.587,-3.049,,0,0,0,0,,PF3D7_0700400,A0A143ZXI1
,,,2.663,9.399,16.778,0.628,0.198,0.488,0.335,0.9645,0,0,0,1.6403,1,1.591,,0,0,0,0,,PF3D7_0700500,A0A143ZVI1
,,,,,,,,,,,,,,,0.766,-3.384,,0,,,,,PF3D7_0700600,
,,,,,,,,,,,,,,,1,1.922,,0,,,,,PF3D7_0700700,
0,0,0,4.89,371.804,348.881,22.722,16.929,10.81,12.904,18.1177,0,11.147,0,226.6441,0.985,1.29,,0,5,5.38,0.255,,PF3D7_0700800,A0A143ZWD4
,,,,,,,,,,,,,,,1,-1.405,,0,,,,,PF3D7_0700900,
,,,,,,,,,,,,,,,0.827,-2.69,,0,,,,,PF3D7_0701000,
0,0,1.199,42.207,28.293,34.902,2.667,7.51,11.656,16.372,25.3988,0.492,0,1.489,21.9474,0.353,-2.442,,0,0,0,0,,PF3D7_0701100,A0A143ZWN4
,,,,,,,,,,,,,,,0.409,-2.535,,0,,,,,PF3D7_0701200,
,,,,,,,,,,,,,,,0.5,-2.536,,0,,,,,PF3D7_0701300,
,,,,,,,,,,,,,,,0.149,-3.195,,0,,,,,PF3D7_0701400,
,,,0,0.307,0.311,0,0,0,0,0,0.869,0,0,2.469,0.795,-2.678,,0,3,11.16,0.598,,PF3D7_0701500,O97474
,,,4.031,308.397,270.493,15.605,12.598,8.937,9.834,6.72115,6.653,8.052,8.41,0,0.988,-0.239,,0,3,5.84,0.285,,PF3D7_0701600,A0A5K1K8N5
,,,0.375,0.186,0,0,0,0.754,1.063,0.98125,1.979,9.834,9.562,0,0.931,-2.676,,0,5,8.98,0.481,,PF3D7_0701700,Q8IC50
,,,0.402,0.781,0.355,0,0.094,0.327,0.91,6.36745,0.591,0.616,1.874,0,0.182,-2.75,,0,1,0.69,0.001,,PF3D7_0701800,Q8IC49
0,0,0,313.291,64.12,10.043,2.845,16.152,59.875,334.059,1337.64235,5.237,0.16,0.596,0.8716,1,-1.831,1227,0,3,2.63,0.077,,PF3D7_0701900,Q8IC48
0,8.153,2.908,1834.466,336.913,41.372,4.931,18.658,49.957,610.117,2051.15725,1.615,7.053,7.659,2.2067,0.121,-3.1,176,0,0,0,0,,PF3D7_0702000,C0H4K0
0,3.022,1.841,,,,,,,,,,,,,0.258,-2.573,,0,,,,,PF3D7_0702100,
0,0.624,0.469,302.834,260.268,31.342,13.037,47.148,71.416,328.26,508.6586,14.775,39.694,24.477,43.4429,1,-0.889,104,0,4,30.98,0.937,,PF3D7_0702200,Q8IC45
,,,722.534,239.96,15.258,3.664,5.807,14.652,54.596,117.61805,8.418,9.198,4.808,0,1,-0.119,104,0,3,7.08,0.367,,PF3D7_0702300,Q8IC44
26.064,19.8,41.156,568.434,1226.292,299.902,140.094,71.86,71.154,86.251,369.87735,29.339,31.128,18.343,13.7347,1,-1.346,30,0,0,0,0,,PF3D7_0702400,Q8IC43
0,4.868,10.908,618.422,1525.712,562.573,305.648,211.984,176.868,137.2,217.7882,55.251,57.124,47.414,0,1,2.017,108,0,0,0,0,,PF3D7_0702500,Q8IC42
0,0.76,0.208,74.508,21.363,12.942,4.957,20.111,40.371,105.005,223.0056,33.47,23.736,0,0,0.12,-2.679,36,0,1,0.97,0.005,,PF3D7_0702600,Q8I6S7
,,,,,,,,,,,,,,,,,3,0,,,,,PF3D7_0702800,
124.717,130.617,288.231,77.032,94.951,92.762,89.628,88.365,58.253,42.595,29.89,12.162,43.263,30.187,0,0.269,-1.176,44,0,2,6.03,0.298,,PF3D7_0702900,C0H4K1
2.301,119.388,224.864,10.898,13.045,15.276,20.17,20.178,13.095,7.567,6.1826,24.072,31.664,14.419,13.9102,0.119,-3.114,1429,0,44,19.25,0.836,,PF3D7_0703000,Q8IC40
23.355,22.62,27.536,44.759,45.798,39.578,38.837,23.03,21.474,16.659,13.10015,30.861,17.682,17.714,17.0371,0.122,-3.239,41,3944.436667,2,2.29,0.058,sp|Q9Y3D0|CIA2B_HUMAN,PF3D7_0703100,Q8IC39
50.833,50.621,84.107,12.609,33.572,124.106,248.808,303.441,304.553,173.482,121.47945,113.262,96.451,168.106,149.6264,0.289,-2.602,1816,0,24,12.56,0.655,,PF3D7_0703200,Q8IC38
0,4.689,11.637,34.239,163.602,201.357,196.023,176.704,111.182,92.937,69.0446,175.025,92.901,416.91,3.9321,1,0.74,64,0,0,0,0,,PF3D7_0703300,Q8IC37
12.469,48.711,33.019,16.479,18.223,39.166,38.649,52.08,33.354,36.707,29.74825,56.077,26.527,26.363,56.8372,0.756,-2.75,628,0,13,31.28,0.938,,PF3D7_0703400,A0A5K1K8R2
231.165,129.524,143.306,547.686,741.955,551.091,456.421,276.122,263.704,197.21,364.0745,227.214,243.324,131.079,261.132,0.122,-2.946,917,669.8534145,15,6.65,0.338,sp|Q92900|RENT1_HUMAN,PF3D7_0703500,Q8IC35
15.88,110.461,164.025,21.933,11.869,35.791,140.822,340.879,351.558,326.779,282.706,8.941,21.26,16.388,34.8157,0.981,0,46,0,0,0,0,,PF3D7_0703600,C0H4K2
78.148,34,28.581,433.184,574.073,565.124,338.908,146.996,113.344,127.739,143.4371,40.436,31.159,103.103,4.5937,0.14,-3.118,178,0,4,11.63,0.619,,PF3D7_0703700,Q8IC33
93.392,238.059,117.854,10,3.397,2.634,15.217,43.152,35.24,25.079,17.50465,229.46,208.294,46.502,1653.4669,1,-2.926,332,0,8,6.98,0.36,,PF3D7_0703800,Q8IC32
30.268,30.445,33.378,89.973,91.558,55.747,30.179,25.77,19.186,16.999,16.40595,53.984,43.659,36.357,94.8282,0.12,-2.992,1543,0,,,,,PF3D7_0703900,
14.224,28.24,34.375,28.432,24.435,25.415,25.924,15.204,12.598,11.148,7.5958,23.622,19.287,13.246,40.4581,1,-2.475,3376,0,,,,,PF3D7_0704000,
0.638,4.449,17.242,7.351,2.193,3.255,51.288,114.4,144.623,92.774,49.81385,29.915,53.165,100.678,32.6407,1,-2.004,1683,0,,,,,PF3D7_0704100,
23.186,70.065,57.043,94.136,127.291,90.572,61.91,48.28,41.463,29.424,26.53865,18.087,27.941,21.053,0.8968,1,-0.795,534,829.8445096,12,15.46,0.754,sp|Q08J23|NSUN2_HUMAN,PF3D7_0704200,Q8IC28
279.534,208.203,261.194,12.949,6.914,39.252,193.957,277.576,324.902,189.713,133.58155,14.284,11.178,16.557,14.9613,1,-0.847,354,205.1861771,1,1.57,0.024,sp|Q9P2E9|RRBP1_HUMAN,PF3D7_0704300,A0A143ZVW7
44.348,43.552,51.99,30.966,61.966,88.683,164.849,210.234,223.207,208.441,116.32865,231.691,200.925,249.722,94.76,0.261,-2.77,865,0,10,18.79,0.83,,PF3D7_0704400,Q8IC26
0.614,0.349,1.587,7.467,1.499,1.674,99.451,206.815,290.563,165.383,93.0912,68.73,94.527,102.747,123.5514,1,-2.787,1161,305.6758578,25,30.63,0.935,tr|C9IYV2|C9IYV2_HUMAN,PF3D7_0704500,C0H4K5
95.074,95.117,144.474,181.017,169.245,143.336,177.907,220.49,228.231,165.978,135.9343,127.808,126.924,61.466,178.6859,1,-2.305,2614,279.9871564,,,,tr|A0A994J4S0|A0A994J4S0_HUMAN,PF3D7_0704600,
18.276,29.764,44.752,28.595,25.231,25.364,35.512,50.584,53.509,44.942,36.55475,4.95,4.27,13.755,4.2459,0.997,-2.699,943,0,23,25.95,0.91,,PF3D7_0704700,Q8IC23
9.833,46.567,33.291,8.36,4.127,30.264,47.314,80.021,93.284,121.011,81.636,65.241,56.385,61.635,86.742,1,-0.628,763,0,17,14.21,0.715,,PF3D7_0704800,Q8IC22
